F5	9606.ENSP00000354631
9606.ENSP00000340742
9606.ENSP00000317786
9606.ENSP00000373709
9606.ENSP00000263674
-1.CID005289288
ERF9606.ENSP00000222329
9606.ENSP00000337386
9606.ENSP00000353741
9606.ENSP00000356811
9606.ENSP00000201031
9606.ENSP00000367919
TNC9606.ENSP00000265131
9606.ENSP00000367316
9606.ENSP00000232975
-1.CID003379973
DDC9606.ENSP00000357656
9606.ENSP00000286749
9606.ENSP00000339928
9606.ENSP00000256722
-1.CID000001890
PTN9606.ENSP00000341170
-1.CID000023939
CR19606.ENSP00000356017
9606.ENSP00000296145
-1.CID000445722
SAG9606.ENSP00000252857
9606.ENSP00000273480
-1.CID000131682
SRC9606.ENSP00000313859
9606.ENSP00000252244
9606.ENSP00000348828
9606.ENSP00000374249
9606.ENSP00000308782
9606.ENSP00000261884
9606.ENSP00000346279
9606.ENSP00000350018
9606.ENSP00000277165
9606.ENSP00000353402
9606.ENSP00000344591
9606.ENSP00000343901
9606.ENSP00000301396
9606.ENSP00000264554
9606.ENSP00000349977
9606.ENSP00000321514
9606.ENSP00000360683
9606.ENSP00000290894
9606.ENSP00000228741
9606.ENSP00000338171
9606.ENSP00000347276
9606.ENSP00000296129
9606.ENSP00000281156
9606.ENSP00000327509
9606.ENSP00000262866
9606.ENSP00000365745
9606.ENSP00000352513
9606.ENSP00000337548
9606.ENSP00000303042
9606.ENSP00000216733
9606.ENSP00000295797
9606.ENSP00000220003
9606.ENSP00000367141
9606.ENSP00000364995
9606.ENSP00000357432
9606.ENSP00000320940
9606.ENSP00000309597
9606.ENSP00000373709
9606.ENSP00000369049
9606.ENSP00000361063
9606.ENSP00000275493
9606.ENSP00000362659
9606.ENSP00000224337
9606.ENSP00000005587
9606.ENSP00000273183
9606.ENSP00000354823
BCR9606.ENSP00000265404
9606.ENSP00000339826
9606.ENSP00000270632
9606.ENSP00000264414
9606.ENSP00000356943
9606.ENSP00000340177
9606.ENSP00000368412
9606.ENSP00000305355
9606.ENSP00000221972
9606.ENSP00000006750
9606.ENSP00000303507
9606.ENSP00000364898
9606.ENSP00000351497
9606.ENSP00000368759
9606.ENSP00000343458
9606.ENSP00000264122
9606.ENSP00000296414
9606.ENSP00000309521
9606.ENSP00000276420
9606.ENSP00000253688
9606.ENSP00000224337
9606.ENSP00000005587
9606.ENSP00000344881
9606.ENSP00000320509
9606.ENSP00000226951
9606.ENSP00000356186
-1.CID000000573
FOS9606.ENSP00000306245
9606.ENSP00000366184
9606.ENSP00000352612
9606.ENSP00000261951
9606.ENSP00000344903
9606.ENSP00000357225
9606.ENSP00000322542
9606.ENSP00000222305
9606.ENSP00000265354
9606.ENSP00000318635
9606.ENSP00000358546
9606.ENSP00000297904
9606.ENSP00000374051
9606.ENSP00000304769
9606.ENSP00000264073
9606.ENSP00000310170
9606.ENSP00000226382
9606.ENSP00000264716
9606.ENSP00000361708
9606.ENSP00000313007
9606.ENSP00000350369
9606.ENSP00000228741
-1.CID000001950
CPE9606.ENSP00000250392
9606.ENSP00000297926
9606.ENSP00000265085
9606.ENSP00000265997
9606.ENSP00000371838
9606.ENSP00000342445
9606.ENSP00000261722
9606.ENSP00000261510
LXN9606.ENSP00000264265
SRY9606.ENSP00000372547
9606.ENSP00000191922
-1.CID000005297
ZFY9606.ENSP00000155093
PYY9606.ENSP00000363431
9606.ENSP00000353198
9606.ENSP00000354652
9606.ENSP00000332591
9606.ENSP00000290426
9606.ENSP00000365247
VWF9606.ENSP00000364042
9606.ENSP00000303942
9606.ENSP00000261405
9606.ENSP00000329380
9606.ENSP00000319286
9606.ENSP00000360997
VIM9606.ENSP00000224237
9606.ENSP00000305603
9606.ENSP00000351602
9606.ENSP00000252675
POR9606.ENSP00000322304
9606.ENSP00000265302
-1.CID011303063
RPE9606.ENSP00000297354
9606.ENSP00000352401
9606.ENSP00000314992
9606.ENSP00000350823
-1.CID006323497
PBP9606.ENSP00000266037
9606.ENSP00000300651
9606.ENSP00000296028
9606.ENSP00000262304
9606.ENSP00000261313
-1.CID000007466
ND29606.ENSP00000355046
-1.CID000123329
ALK9606.ENSP00000373781
9606.ENSP00000257963
9606.ENSP00000361107
9606.ENSP00000332656
9606.ENSP00000263640
9606.ENSP00000243349
9606.ENSP00000323583
9606.ENSP00000373700
9606.ENSP00000267008
LEP9606.ENSP00000360100
9606.ENSP00000312652
PDC9606.ENSP00000273077
9606.ENSP00000342033
-1.CID000011243
LTB9606.ENSP00000365285
9606.ENSP00000372985
9606.ENSP00000228740
9606.ENSP00000011989
9606.ENSP00000228918
9606.ENSP00000372788
9606.ENSP00000295640
9606.ENSP00000365303
9606.ENSP00000221700
SST9606.ENSP00000287641
NF29606.ENSP00000335652
9606.ENSP00000350975
-1.CID000138039
CRP9606.ENSP00000346417
9606.ENSP00000356275
9606.ENSP00000255030
-1.CID000153847
DMN9606.ENSP00000336775
-1.CID000001374
DAP9606.ENSP00000363014
9606.ENSP00000341692
9606.ENSP00000301264
9606.ENSP00000263955
9606.ENSP00000319192
9606.ENSP00000261891
9606.ENSP00000363101
9606.ENSP00000353702
9606.ENSP00000340281
9606.ENSP00000354791
9606.ENSP00000316377
9606.ENSP00000240652
9606.ENSP00000365095
9606.ENSP00000350614
9606.ENSP00000355607
9606.ENSP00000362444
-1.CID000008861
ADK9606.ENSP00000286621
-1.CID000001673
IPP9606.ENSP00000361090
9606.ENSP00000282841
9606.ENSP00000321810
9606.ENSP00000277517
9606.ENSP00000328178
9606.ENSP00000370748
9606.ENSP00000325423
9606.ENSP00000257905
-1.CID000444595
GLS9606.ENSP00000317379
9606.ENSP00000310447
-1.CID000482116
GHR9606.ENSP00000230882
BGN9606.ENSP00000342318
-1.CID000228030
APS9606.ENSP00000368933
9606.ENSP00000351926
9606.ENSP00000299980
9606.ENSP00000347043
9606.ENSP00000350199
9606.ENSP00000369248
9606.ENSP00000218758
9606.ENSP00000314522
9606.ENSP00000216366
9606.ENSP00000174653
9606.ENSP00000347408
9606.ENSP00000252818
9606.ENSP00000243643
9606.ENSP00000345524
9606.ENSP00000354436
9606.ENSP00000350075
9606.ENSP00000261842
9606.ENSP00000261722
9606.ENSP00000265174
9606.ENSP00000364464
9606.ENSP00000314151
9606.ENSP00000354911
9606.ENSP00000325727
9606.ENSP00000025469
9606.ENSP00000307087
9606.ENSP00000327694
9606.ENSP00000352157
9606.ENSP00000005279
9606.ENSP00000314414
9606.ENSP00000232165
9606.ENSP00000358584
9606.ENSP00000307634
